Stand_ID,Stand_CN
10021,150459
10038,150459
10172,17411
10180,17411
10193,17883
10205,18116
10214,18116
10229,19320
10231,17411
10243,18112
10245,17411
10252,150459
10308,17411
10353,17411
10363,18112
10376,150459
10514,150558
10528,150459
10537,87440
10547,150558
10572,150558
10588,150459
10594,150558
10597,150558
10599,87385
10628,150459
10642,150459
10838,86127
10839,85442
10841,18949
10842,90383
10843,85442
10844,135994
10845,136711
10847,85675
10849,136711
10850,85675
10851,28186
10852,85442
10853,142747
10855,135994
10856,146752
10857,85442
10858,142747
10860,87153
10861,146752
10862,134358
10863,146815
10864,138106
10866,85675
10868,90109
10869,150459
10871,135994
10872,136711
10873,18949
10874,150850
10875,87153
10876,135994
10877,85675
10880,89020
10881,136711
10882,135994
10883,28840
10884,28840
10885,85442
10886,146752
10887,86127
10888,132427
10889,134358
10890,90669
10891,146752
10892,28186
10893,85675
10894,18949
10895,87153
10896,85675
10897,89020
10898,28186
10900,20222
10901,85675
10902,28840
10903,146752
10906,138106
10908,90019
10909,138177
10910,142747
10911,135994
10913,150995
10914,146602
10915,134358
10917,18714
10918,85675
10919,136711
10920,132354
10921,142747
10922,135994
10923,87094
10924,142747
10925,19275
10926,88978
10927,86127
10928,19420
10929,146771
10931,85675
10934,85675
10938,146602
10939,93360
10940,85442
10941,87835
10942,135994
10943,142747
10944,138106
10945,85442
10946,138106
10947,135994
10949,18949
10950,135994
10951,132599
10952,28186
10954,18714
10955,138106
10956,18714
10957,142747
10958,132427
10959,86127
10962,135994
10963,18949
10965,86127
10969,28840
10970,19451
10972,19011
10973,86998
10975,142747
10976,132427
10977,132427
10978,132599
10979,132599
10981,132427
10982,85442
10983,132427
10985,85442
11110,150889
11119,29595
11121,1022
11128,107068
11130,107068
11136,1022
11147,79040
11152,107068
11153,1022
11163,29578
11165,1013
11166,79040
11169,107068
11170,83900
11173,107068
11175,29578
11177,107068
11178,107068
11180,29560
11190,107068
11193,107068
11195,107068
11196,107068
11198,107068
11202,132757
11207,29679
11213,1022
11214,107068
11216,133585
11218,29578
11219,1022
11221,29560
11222,79040
11223,73195
11225,107068
11245,1022
11280,150459
11309,150459
6300,81410
6301,130394
6302,29531
6303,86334
6304,29531
6305,1016
6306,1017
6307,29531
6308,1017
6309,81410
6310,29531
6311,29531
6312,1062
6313,86334
6314,128482
6315,133028
6316,29531
6317,137148
6318,1017
6319,29531
6320,79035
6321,29531
6322,1017
6323,29531
6324,29531
6325,130394
6326,133808
6327,998
6328,133808
6329,29531
6330,86334
6331,29531
6332,1017
6333,29531
6334,1017
6335,29531
6336,29531
6337,29531
6338,133593
6339,137148
6340,29531
6341,29531
6342,1017
6343,29531
6344,86334
6345,84210
6346,29531
6347,81410
6348,29531
6349,129594
6350,29531
6351,128482
6352,130394
6353,29531
6354,1017
6355,29531
6356,29531
6357,29531
6358,81410
6359,81410
6360,86334
6361,29531
6362,29531
6363,29531
6364,107086
6365,1017
6366,81410
6367,29531
6368,29531
6369,81410
6370,79035
6371,81410
6372,133808
6373,86334
6374,137148
6375,81410
6376,1017
6377,133808
6378,29531
6379,29531
6380,29531
6381,1017
6382,29531
6383,1062
6384,1017
6385,29531
6386,29531
6387,81410
6388,1017
6389,81410
6390,137148
6391,29531
6392,149250
6393,86334
6394,133808
6395,81410
6396,29531
6397,81410
6398,29531
6399,29531
6400,130394
6401,81410
6402,29531
6403,29531
6404,29531
6405,1062
6406,1017
6407,1017
6408,137150
6409,29531
6410,29531
6411,29531
6412,29531
6413,29531
6414,29531
6415,29531
6416,81410
6417,149250
6418,29531
6419,1089
6420,998
6421,29531
6422,1089
6423,29531
6424,1016
6425,29531
6426,81410
6427,29531
6428,84210
6429,29531
6430,29531
6431,81410
6432,29685
6433,149250
6434,29531
6435,29638
6436,29531
6451,82594
6452,2927
6453,2927
6454,2927
6455,2927
6456,2927
6457,20610
6458,82594
6459,82594
6460,12189
6461,140916
6462,2936
6463,94106
6464,13120
6465,2927
6466,82594
6467,13120
6468,23650
6469,24258
6470,94106
6471,2936
6472,2927
6473,2927
6602,82594
6603,2927
6614,2936
6615,13120
6616,2927
6617,2936
6618,2927
6619,2927
6620,2927
6621,13145
6622,2927
6623,82594
6624,2936
6625,2927
6626,2927
6627,24258
6628,2927
6629,2936
6630,8508
6631,82594
6632,2935
6633,82594
6634,82594
6635,82594
6636,82594
6637,82594
6638,23650
6639,81518
6640,82594
6641,2935
6642,13120
6643,82594
6644,94106
6645,2927
6646,2927
6647,2927
6648,2935
6649,2927
6650,2927
6651,2936
6652,24258
6653,2928
6654,24258
6655,137166
6656,12771
6657,2936
6658,2936
6659,2936
6660,82594
6661,2927
6662,82594
6663,140916
6664,8277
6665,2927
6666,2927
6667,82594
6668,2935
6669,12771
6670,135336
6671,2935
6672,81518
6673,24817
6674,13122
6675,2936
6676,24258
6677,2936
6678,2927
6679,2936
6680,2927
6681,82594
6682,2928
6683,82594
6684,2927
6685,2936
6686,2936
6687,2936
6688,140916
6689,2927
6690,82594
6691,2935
6692,2927
6693,2936
6694,2927
6695,23650
6696,82594
6697,2927
6698,12771
6699,2936
6700,2927
6701,2927
6702,13120
6703,82594
6704,2927
6705,13122
6706,140916
6707,2927
6708,82594
6709,8508
6710,2936
6711,2936
6712,24258
6713,2936
6714,82594
6715,2927
6716,13120
6717,82594
